name,lng,lat,level
西单,116.382001,39.913329,1
王府井,116.417796,39.914398,1
国贸,116.467523,39.914435,1
中关村,116.323066,39.989956,1
三里屯,116.459228,39.942651,1
朝阳大悦城,116.524828,39.930764,2
崇文门,116.423836,39.907391,2
前门,116.404276,39.906534,2
南锣鼓巷,116.409512,39.93986,2
后海,116.402573,39.944136,2
金融街,116.368191,39.921574,2
侨福芳草地购物中心,116.455352,39.925332,2
建国门商圈,116.440575,39.914157,2
望京soho,116.487806,40.0026,3
奥林匹克中心,116.402844,39.999252,3
雍和宫,116.423256,39.955561,3
环球金融中心,116.46296,39.924416,3
公主坟,116.316824,39.913535,3
蓝色港湾,116.482454,39.955171,3
阜成门,116.362817,39.929522,3
颐堤港,116.497833,39.975903,3
北京SKP,116.492568,39.910071,3
木樨园,116.404801,39.864449,4
首地大峡谷,116.37388,39.860695,4
北京西红门,116.33319,39.793825,4
燕莎奥特拉斯,116.49338,39.883657,4
