lng,lat
116.48565504,39.9996309515
116.358568404,39.9202419361
116.337037199,40.0698525105
116.577762712,39.9114413857
116.654932549,40.1299585334
116.169539984,39.7508824791
116.218884765,39.9255970147
116.444571741,39.8140285025
116.429476905,39.9460223712
116.23482081,40.0851104273
116.324807111,39.7671872943
116.25851437,40.2054608319
116.305217085,39.9645536782
116.526042977,39.7801280278
116.667051187,39.8910602756
116.509549452,39.9290489665
116.393501027,39.866006524
116.42393365,40.0241492493
116.235956979,39.8635555195
116.292456201,40.0374071396
116.46457271,39.8809399454
116.486097191,40.1512190734
116.325662644,39.8406177487
116.589879717,40.1051966036
116.535438253,39.8413563305
116.588935244,40.0515197951
116.288847485,39.9016743168
116.124794806,39.9198155277
116.365069384,39.9959924143
116.653202897,39.9406457233
