name,lat,lng
苹果园,39.9263251384,116.1777806282
古城,39.9072014648,116.1902475357
八角游乐园,39.9074319023,116.2128210068
八宝山,39.9072673042,116.2358236313
玉泉路,39.9073331435,116.2530326843
五棵松,39.9078269362,116.2740182877
万寿路,39.9074319023,116.2951755524
公主坟,39.9074319023,116.3097667694
军事博物馆,39.9074648219,116.3240146637
木樨地,39.9076294195,116.3374471664
南礼士路,39.9072014648,116.3525962830
复兴门,39.9071685451,116.3565444946
西单,39.9074319023,116.3742685318
天安门西,39.9074648219,116.3917350769
天安门东,39.9077281779,116.4016485214
王府井,39.9080244523,116.4115619659
东单,39.9081890486,116.4179134369
建国门,39.9085182400,116.4358091354
永安里,39.9083865636,116.4504861832
国贸,39.9091436994,116.4619016647
大望路,39.9085182400,116.4770936966
四惠,39.9087157541,116.4954614639
四惠东,39.9085182400,116.5153312683
北京站,39.9049628889,116.4272689819
崇文门,39.9009793597,116.4168834686
前门,39.8999587488,116.3979578018
和平门,39.9000904414,116.3841819763
宣武门,39.8996624396,116.3743114471
长椿街,39.8996295163,116.3630676270
阜成门,39.9233960408,116.3559865952
车公庄,39.9322487730,116.3558149338
西直门,39.9404422892,116.3554716110
积水潭,39.9487335236,116.3731956482
鼓楼大街,39.9478123250,116.3938379288
安定门,39.9491283193,116.4083003998
雍和宫,39.9492599173,116.4169692993
东直门,39.9411332638,116.4336633682
东四十条,39.9338612292,116.4340066910
朝阳门,39.9249428832,116.4346075058
安河桥北,40.0118554028,116.2699842453
北宫门,40.0023554989,116.2776875496
西苑,39.9983283241,116.2909269333
圆明园,39.9994954074,116.3096809387
北京大学东门,39.9921473816,116.3159036636
中关村,39.9838449697,116.3164830208
海淀黄庄,39.9756402091,116.3175773621
人民大学,39.9674015726,116.3213539124
魏公村,39.9578132466,116.3232851028
国家图书馆,39.9432061456,116.3251948357
动物园,39.9382047998,116.3388204575
新街口,39.9405080966,116.3677883148
平安里,39.9336637876,116.3728952408
西四,39.9245808594,116.3734102249
灵境胡同,39.9160892062,116.3737535477
菜市口,39.8894554507,116.3739252090
陶然亭,39.8785388760,116.3743543625
北京南站,39.8648536559,116.3792896271
马家堡,39.8532248377,116.3712644577
角门西,39.8459269952,116.3711357117
公益西桥,39.8370219177,116.3708353043
天通苑北,40.0833908853,116.4129781723
天通苑,40.0752145100,116.4131069183
天通苑南,40.0663146083,116.4129352570
立水桥,40.0530775487,116.4122486115
立水桥南,40.0418420964,116.4146518707
北苑路北,40.0305062112,116.4180421829
大屯路东,40.0038019364,116.4173340797
惠新西街北口,39.9875113077,116.4170658588
惠新西街南口,39.9769967756,116.4174628258
和平西桥,39.9685321828,116.4179724455
和平里北街,39.9584074165,116.4185062051
北新桥,39.9408618103,116.4168727398
张自忠路,39.9336596743,116.4171463251
东四,39.9243700208,116.4174936712
灯市口,39.9172165503,116.4177873731
磁器口,39.8931227334,116.4187248051
天坛东门,39.8830639907,116.4208289981
蒲黄榆,39.8656647996,116.4215612411
刘家窑,39.8576455856,116.4221245050
宋家庄,39.8457869613,116.4283740520
海淀五路居,39.9325778488,116.2767648697
慈寿寺,39.9330879131,116.2951755524
花园桥,39.9323721766,116.3101047277
白石桥南,39.9330241553,116.3254737854
车公庄西,39.9324719277,116.3439850509
北海北,39.9332730162,116.3867032528
南锣鼓巷,39.9331372740,116.4032471180
东大桥,39.9228797332,116.4517012239
呼家楼,39.9231985690,116.4618426561
金台路,39.9228159658,116.4780861139
十里堡,39.9230689778,116.5018987656
青年路,39.9231615430,116.5175521374
褡裢坡,39.9240213643,116.5634393692
黄渠,39.9241694664,116.5782129765
常营,39.9257574298,116.5995419025
草房,39.9244286443,116.6154688597
俸伯,40.1325679642,116.6849541664
顺义,40.1302465359,116.6568553448
石门,40.1298445844,116.6413360834
南法信,40.1283926174,116.6094338894
后沙峪,40.1140845728,116.5642333031
花梨坎,40.0843923417,116.5576457977
国展,40.0701407233,116.5551674366
孙河,40.0451275079,116.5346109867
马泉营,40.0337675249,116.5038192272
崔各庄,40.0222084635,116.4929187298
望京,39.9987146144,116.4697873592
望京西,39.9959858785,116.4515912533
张郭庄,39.8583147471,116.1871576309
园博园,39.8612301562,116.2019205093
大瓦窑,39.8595830477,116.2395787239
郭庄子,39.8643780825,116.2531399727
大井,39.8652077604,116.2763088942
七里庄,39.8675310111,116.2942126393
西局,39.8664841684,116.3043808937
泥洼,39.8583188650,116.3043862581
丰台站,39.8498560655,116.3050138950
首经贸,39.8444483875,116.3202059269
纪家庙,39.8444154376,116.3332575560
草桥,39.8459434698,116.3511532545
角门西,39.8459414105,116.3711491227
角门东,39.8451444491,116.3849544525
大红门,39.8453750952,116.3988295197
石榴庄,39.8459022834,116.4139866829
成寿寺,39.8458652156,116.4474123716
分钟寺,39.8518740541,116.4539784193
十里河,39.8658089104,116.4590156078
潘家园,39.8754718785,116.4607697725
劲松,39.8844378292,116.4613223076
双井,39.8935590076,116.4616280794
金台夕照,39.9167145964,116.4618426561
团结湖,39.9337296015,116.4618694782
农业展览馆,39.9417090706,116.4621269703
亮马桥,39.9490830824,116.4619070292
三元桥,39.9613658535,116.4568376541
太阳宫,39.9727954429,116.4475035667
芍药居,39.9778107025,116.4361524582
安贞门,39.9769803325,116.4059722424
北土城,39.9766884674,116.3944441080
建德门,39.9767090213,116.3813495636
牡丹园,39.9763184957,116.3699018955
西土城,39.9761869497,116.3538730145
知春路,39.9764705954,116.3399469852
知春里,39.9763143849,116.3286226988
海淀黄庄,39.9760060736,116.3175827265
苏州街,39.9756340428,116.3062664866
巴沟,39.9741726205,116.2940597534
火器营,39.9660160357,116.2890118361
长春桥,39.9583107871,116.2943869829
车道沟,39.9481331009,116.2938773632
西钓鱼台,39.9232973050,116.2976646423
莲花桥,39.8976787809,116.3103997707
六里桥,39.8803337264,116.3027608395
新宫,39.8122529769,116.3655996323
西红门,39.7895938573,116.3287568092
高米店北,39.7733841750,116.3308489323
高米店南,39.7634223137,116.3317823410
枣园,39.7535909846,116.3319754601
清源路,39.7426693062,116.3325119019
黄村西大街,39.7313828531,116.3326191902
黄村火车站,39.7229498085,116.3325762749
义和庄,39.7125019650,116.3190150261
生物医药基地,39.6866148672,116.3222551346
天宫院,39.6702157844,116.3199269772
