lng,lat
121.826541129,29.9122558114
121.590875663,29.8589048588
121.595833166,29.9451698806
121.521650795,29.8692510048
121.712643899,29.9695888459
121.504906819,29.9390554964
121.628891444,29.8527248797
121.583616818,29.8283611253
121.882784271,29.9291126636
121.546465906,29.8214566318
121.494786784,29.8269299045
121.617499057,29.8823427453
121.635837348,29.9384278213
121.795678055,29.9614905757
121.520121425,29.8990569248
121.558930413,29.8888947247
121.752234515,29.9732093607
121.858679776,29.9118710911
121.591941479,29.9765399537
121.739984596,29.9259419265
121.68131026,29.9835891316
121.553005954,29.8544490769
121.837910528,29.9432343341
121.591700808,29.8945818629
121.458912591,29.8612780799
121.687712731,29.9492406725
121.544817644,29.9189154428
121.465714977,29.9574872095
121.647829429,29.8807583652
121.619086542,29.808830069
