name,lat,lng
宁波火车站,29.863114954,121.538132712
东环南路,29.8525617034,121.650914424
江厦桥东,29.8693839831,121.565057547
樱花公园地铁站,29.8647333395,121.581377128
西门口-地铁站,29.87484794,121.539927316
客运中心(地铁站),29.8507216958,121.512386195
霞浦,29.8902916265,121.857631311
长江路,29.8908762332,121.84366267
中河路,29.8938617849,121.829308297
大碶,29.8927076014,121.794225237
松花江路,29.9044182645,121.808763867
清水浦,29.9217139609,121.660931728
宁波大学,29.911572613,121.634965333
邬隘,29.8745999453,121.782096034
宝幢,29.839773773,121.733506023
五乡,29.8385645601,121.690066809
邱隘东,29.8463404264,121.664152281
盛莫路,29.8564756764,121.636517431
三官堂,29.9117263732,121.621096072
路林,29.9089121231,121.612510535
孔浦,29.9043822756,121.591957115
倪家堰,29.8984879308,121.566828939
正大路,29.8901640714,121.562205943
外滩大桥,29.8832741412,121.558883795
压赛堰,29.9035297146,121.57577954
大通桥,29.90348737,121.581917567
泽民,29.8787442639,121.521172632
望春桥,29.8819697513,121.50875912
高桥,29.9016459065,121.464166378
徐家漕长乐,29.8876441587,121.496882227
梁祝,29.8948547406,121.476424662
芦港,29.8905761081,121.487198529
高桥西,29.9107761045,121.453704365
世纪大道,29.8587943129,121.602067457
福庆北路,29.8587713136,121.624383417
福明路,29.8609621721,121.593007307
海晏北路,29.8603698495,121.614792455
东门口(天一广场),29.8711068062,121.5557477
舟孟北路,29.8671440357,121.573933933
樱花公园,29.8642690386,121.581239038
城隍庙,29.8674955585,121.548845109
鼓楼,29.8736896049,121.549378918
藕池,29.8415306809,121.512429341
客运中心,29.8509271847,121.512430314
西门口,29.8750642141,121.539546555
大卿桥,29.8765278069,121.532115317
丽园南路,29.8585132567,121.517922809
云霞路,29.8586777986,121.526390653
石碶,29.8253442073,121.503807387
轻纺城,29.8316774107,121.514036703
鄞州大道,29.8184456421,121.496334167
栎社国际机场,29.8178329419,121.460795599
栎社,29.8095263448,121.4835133
