name,lng,lat,level
南京西路静安寺,121.452713,31.229543,1
陆家嘴,121.505908,31.242512,1
南京东路,121.49035,31.242904,1
淮海中路,121.479805,31.228758,1
中山公园,121.42609,31.224465,1
张杨路,121.522952,31.232966,1
徐家汇,121.445096,31.200755,1
陕西南路,121.466669,31.223498,2
四川北路,121.489406,31.2636,2
五角场,121.521008,31.307792,2
打浦桥,121.475402,31.212073,3
城隍庙,121.498981,31.232772,3
虹口龙之梦,121.484617,31.27678,3
七宝,121.356049,31.161393,3
莘庄,121.391623,31.116581,3
不夜城,121.464328,31.25175,3
天山路新虹桥,121.409085,31.211706,4
大宁路,121.458132,31.280011,4
长寿商业中心,121.447022,31.24883,4
中环真北,121.388887,31.237862,4
南方商城,121.407538,31.137372,4
世博,121.496502,31.188396,4
曹安路,121.390179,31.251143,4
联洋,121.56427,31.232908,4
虹桥吴中路,121.409343,31.193472,4
龙阳路,121.564076,31.209906,4
塘桥,121.525353,31.215407,4
北外滩,121.505946,31.254947,4
