lng,lat
121.693057729,31.2167095797
121.267792034,31.0606119096
121.338624868,31.1393348866
121.232871863,31.3974462449
121.596338419,31.228896462
121.842772181,30.8918038004
121.470595375,30.8084364507
121.392451648,31.4176661444
121.524517249,31.0941183012
121.184854946,31.3039937911
121.307987839,31.3130462872
121.411514218,31.0517438661
121.328722731,30.7435577976
121.431489703,31.2757835772
121.077479802,31.3299056076
121.64091978,31.3126468124
121.240108686,31.1836672562
121.10624152,31.4452814169
121.547021386,31.3244426851
121.781807337,31.1546347242
121.471620216,30.9395180017
121.610074346,31.1307825898
121.342875892,31.2282533924
121.119752159,31.1728217865
121.511842774,31.2081772258
121.183397408,31.0286525401
121.726583358,31.0501680334
121.463405119,31.3714639271
121.430196731,31.1602887634
121.739221402,31.3810083271
